,word_ru,value
0,покидать,-2
1,заброшенный,-2
2,бросает,-2
3,похищен,-2
4,похищение,-2
5,похищения,-2
6,ненавидеть,-3
7,ненавидел,-3
8,отвратительный,-3
9,ненавидит,-3
10,способности,2
11,способность,2
12,на борту,1
13,прерванный,-1
14,прерывание,-1
15,отсутствующий,-1
16,отсутствующие,-1
17,прощать,2
18,отпущен,2
19,снимает,2
20,прощающий,2
21,поглощен,1
22,злоупотреблять,-3
23,злоупотребляли,-3
24,злоупотребления,-3
25,злоупотребление,-3
26,оскорбительный,-3
27,принимать,1
28,приемлемо,1
29,принятие,1
30,принято,1
31,принимая,1
32,принимает,1
33,доступный,1
34,несчастный случай,-2
35,случайный,-2
36,случайно,-2
37,несчастные случаи,-2
38,признание,2
39,признанный,2
40,похвала,2
41,выполнить,2
42,удавшийся,2
43,выполняет,2
44,достижение,2
45,достижения,2
46,обвинение,-2
47,обвинения,-2
48,обвинять,-2
49,обвиняемый,-2
50,обвиняет,-2
51,обвиняя,-2
52,болеть,-2
53,достижимый,1
54,болит,-2
55,приобретенный,2
56,оправдывает,2
57,оправдан,2
58,оправдание,2
59,язвительный,-3
60,активный,1
61,адекватный,1
62,восхищаться,3
63,восхищался,3
64,восхищается,3
65,восхищаясь,3
66,признаться,-1
67,допускает,-1
68,допущенный,-1
69,увещевать,-2
70,предупреждал,-2
71,усыновить,1
72,принимает,1
73,восхитительный,3
74,обожание,3
75,обожать,3
76,обожаемый,3
77,обожает,3
78,обожающий,3
79,с обожанием,3
80,передовой,1
81,преимущество,2
82,выгодный,2
83,выгодно,2
84,преимущества,2
85,приключение,2
86,приключения,2
87,авантюрный,2
88,противник,-1
89,желательно,1
90,затронутый,-1
91,привязанность,3
92,любящий,3
93,нежность,3
94,пораженный,-1
95,доступный,2
96,оскорблен,-1
97,любители,2
98,боятся,-2
99,усугублять,-2
100,обостренный,-2
101,обостряет,-2
102,отягчающий,-2
103,агрессия,-2
104,агрессия,-2
105,агрессивный,-2
106,агрессивность,-2
107,в ужасе,-2
108,взволнованный,2
109,мучиться,-3
110,мучительный,-3
111,агонии,-3
112,мучительный,-3
113,мучиться,-3
114,мучительный,-3
115,агонизирует,-3
116,мучительный,-3
117,соглашаться,1
118,приятный,2
119,согласовано,1
120,соглашение,1
121,соглашается,1
122,тревога,-2
123,встревоженный,-2
124,паникер,-2
125,паникеры,-2
126,увы,-1
127,тревога,-1
128,отчуждение,-2
129,в живых,1
130,обвинение,-2
131,обвинения,-2
132,аллергический,-2
133,разрешать,1
134,союзник,2
135,в одиночестве,-2
136,альтруистический,2
137,удивлять,2
138,пораженный,2
139,поражает,2
140,удивительный,4
141,честолюбивый,2
142,амбивалентный,-1
143,дружелюбный,2
144,изумленный,3
145,изумленный,3
146,развлечение,3
147,развлечения,3
148,злость,-3
149,возмущенный,-3
150,злит,-3
151,сердитый,-3
152,тоска,-3
153,мучительный,-3
154,враждебность,-2
155,раздражать,-2
156,раздражение,-2
157,раздраженный,-2
158,раздражающий,-2
159,раздражает,-2
160,антагонистический,-2
161,анти,-1
