,text,rubric
0,"В 1930-е годы Советский Союз охватила лихорадка — в десятилетие бурной индустриализации повсюду гремели сообщения о новых трудовых подвигах простого народа ради построения коммунизма и светлого будущего. Первым из них стал шахтер из Донбасса  Алексей Стаханов . 85 лет назад он установил рекорд по добыче угля за смену и на следующее утро проснулся знаменитым на весь мир. Его одаривали квартирами и машинами, возили по Союзу, он стал любимцем Сталина, однако в итоге не выдержал славы и спился. Фамилия Стаханова, которая дала название движению трудовиков, превратилась в нарицательную и продолжила существовать отдельно от него. Живая витрина коммунизма — в материале  «Ленты.ру» . История легенды советского труда началась на шахте «Центральная-Ирмино» в Донбассе. К 1935 году советские власти запустили вторую пятилетку и активно проводили политику ускоренной индустриализации, пытаясь по заветам Владимира Ленина догнать и перегнать развитые капиталистические страны, от которых безнадежно отстали в экономическом плане после распада Российской империи. Однако препятствием на этом пути была низкая производительность труда советских рабочих. Например, в угольной промышленности ее повышению мешал сам способ добычи: во-первых, многие продолжали рубить уголь по старинке с помощью обушка (кирки), хотя уже шло внедрение более эффективных пневматических молотков; во-вторых, шахтеры, находясь под землей, не могли безостановочно заниматься рубкой, постоянно отвлекаясь на укрепление сводов шахт. Такая проблема  существовала  и на шахте «Центральная-Ирмино» в Луганской области, которая регулярно не выполняла ежедневную норму добычи угля. Летом 1935 года у местного забойщика Андрея Стаханова возникла идея, как повысить производительность труда шахтеров. Он предложил эффективную систему разделения труда: забойщик занимался только рубкой угля, а работающие с ним в тандеме рабочие параллельно занимались исключительно укреплением свода шахты. Идея  понравилась  местному парторгу  Константину Петрову , который решил организовать установление рекорда. Он добился того, чтобы Стаханову позволили опробовать новый метод добычи, и начал тщательно готовиться к событию. Петров сам выбрал наиболее богатый углем участок, выделил в бригаду Стаханова двоих крепильщиков и двоих откатчиков угля и даже лично спустился в шахту, чтобы контролировать процесс работы и светить в забое. Присутствовать на смене также позвали редактора местной газеты, который должен был тут же зафиксировать историческое событие. Внушительный рекорд удалось установить с первой же попытки: в ночь с 30 на 31 августа 1935 года Стаханов за смену в 5 часов 45 минут нарубил 102 тонны угля при норме в 7 тонн, таким образом перевыполнив ее почти в 15 раз. По правилам того времени, добытый уголь должны были разделить на всю бригаду, однако рекорд отдали единолично Стаханову. Всесоюзная слава не заставила себя долго ждать: почти сразу же заметка о Стаханове появилась в «Правде» — главной газете страны, — и имя Стаханова погремело на весь Союз. При публикации заметки  произошла  досадная ошибка: журналисты, получив телеграмму от парткома шахты «Центральная-Ирмино», неверно написали имя героя. В сообщении говорилось, что автором рекорда является «А. Стаханов», и редакторы предположили, что «А.» означает «Алексей». Об ошибке стало известно почти сразу, однако менять имя было поздно: Стаханов уже стал всесоюзной знаменитостью под именем Алексей и привлек внимание советских властей, в том числе лично товарища Сталина. Именно последний нашел выход из ситуации: « Газета ""Правда""  не ошибается», — пояснил Сталин и распорядился выдать рекордсмену паспорт на новое имя. Дочь Стаханова Виолетта позднее  отрицала , что отца когда-то звали Андреем. Причиной интереса политической элиты СССР самого высокого уровня к фигуре простого рабочего из Донбасса стала проблемная индустриализация страны. Дело в том, что Россия к началу Первой мировой войны (1914-1918) была аграрным государством. Хотя к 1913 году подданные империи понемногу начали вовлекаться в труд на заводах, абсолютное большинство населения продолжало трудиться в сельском хозяйстве. Из-за Октябрьской революции (1917), Гражданской войны (1917-1922) и планомерного искоренения капиталистических институтов новые власти не только не смогли продолжить индустриализацию, но и фактически упустили десятилетие развития, еще сильнее отстав от Запада. Так, в 1918 году российский ВВП  был  на 50 процентов ниже, чем в 1913-м. На уровень, который был до Первой мировой войны, удалось выйти только в 1928 году. Большевики готовы были приступить к индустриализации фактически сразу после прихода к власти, однако страна находилась в жесточайшем экономическом кризисе, а ее оголодавшее за время военного коммунизма (1918-1921) население уже начало восставать против нового руководства. «На экономическом фронте с попыткой перехода к коммунизму мы потерпели поражение более серьезное, чем какое бы то ни было поражение, нанесенное нам Колчаком или Деникиным», — констатировал Ленин. В результате советским властям пришлось взять паузу перед индустриализацией, чтобы восстановить благосостояние населения и усмирить недовольство. Такой временной передышкой  стала  новая экономическая политика (НЭП, 1921-1928), объявленная в начале 1920-х годов. В ее рамках советское руководство частично восстанавливало капиталистические инструменты: сельское хозяйство, розничная торговля, сфера услуг, пищевая и легкая промышленность оказались в руках частников, в то время как тяжелую промышленность, банки, международную торговлю контролировало государство. Чтобы помочь населению восстановить благосостояние, власти СССР отказались от силового отбора продуктов у крестьян. Теперь они могли вести свободную торговлю излишками и богатеть, не боясь лишиться нажитого. Курс новой экономической политики оправдал себя в полной мере: за неполное десятилетие удалось в значительной степени восстановить экономику из руин, и власти вновь вернулись к идее индустриализации. Кроме того, они были обеспокоены развитием капитализма в стране. В лице зажиточных крестьян с большими частными хозяйствами советская политическая верхушка видела угрозу своей власти. В конце 1920-х НЭП свернули, объявив первую пятилетку и приступив к индустриализации и подготовке большого экономического скачка. Профинансировать рывок как с точки зрения финансов, так и с точки зрения рабочих рук должна была разбогатевшая деревня. Чтобы заполучить капитал для покупки за рубежом оборудования для заводов (сам Союз своих станков не производил), советское руководство снова начало насильственно отбирать собственность у населения. Чтобы высвободить рабочие руки для промышленных предприятий, власти сгоняли крестьян в колхозы. Неквалифицированная рабочая сила массово покидала деревню из-за падения уровня жизни и бежала в города. На экономическом фронте с попыткой перехода к коммунизму мы потерпели поражение более серьезное, чем какое бы то ни было поражение, нанесенное нам Колчаком или Деникиным В результате из-за разрухи в сельском хозяйстве в СССР в 1929-1933 годы рухнула производительность экономики. Промышленность также пострадала, поскольку в ней работали неквалифицированные кадры, которые не могли быстро наладить производство. Помимо этого, по населению ударил голодомор, жертвами которого стали несколько миллионов человек, а дефицит товаров обернулся возвращением к ненавистной карточной системе, отмененной с военным коммунизмом. По итогам первой пятилетки советские власти поняли, что насильственное изъятие у крестьян товаров, которые они произвели, и принуждение к тяжелому труду не могут обеспечить высокую производительность, необходимую для большого скачка. Запуская вторую пятилетку в середине 1930-х, в Кремле смягчили политику и вернули населению право на личные подсобные хозяйства. Власти СССР задумались о новых способах побудить население к трудовым подвигам. Именно в этом контексте внимание Кремля привлек Андрей Стаханов, которого власти сделали лицом своей пропагандистской кампании. По сути руководство СССР в середине 1930-х  решило  строить класс сытой и счастливой рабочей аристократии, рекламной вывеской которого и стал Стаханов. Рекордсменам на производствах власти обещали деньги, признание в обществе и привилегии. Так, Стаханов за свою ударную смену с 30 на 31 августа  получил  премию в размере месячного оклада. Кроме того, сразу же после рекорда имя шахтера занесли на доску почета, предоставили квартиру с телефоном, личную выездную лошадь и два именных места для него и жены на все кинопоказы и спектакли. О нем писала не только советская, но и зарубежная пресса — Стаханов попал на обложку  журнала Time . Любые сомнения в установленном рекорде пленум шахтпарткома обещал сурово карать. «Все те, кто пытается клеветать на товарища Стаханова и его рекорд как на случайный, выдуманный и так далее, партийным комитетом они будут расценены как самые злейшие враги, выступающие против лучших людей шахты, нашей страны, отдающих все для выполнения указаний вождя нашей партии товарища  Сталина  о полном использовании техники», — говорилось в постановлении пленума. Угроза звучала особенно сурово еще и потому, что начальника шахты, сопротивлявшегося инициативе Петрова и Стаханова по апробации нового метода работы, после установления рекорда  сослали  в лагеря. На примере Стаханова в Кремле демонстрировали, что в советском государстве можно не только легально обогатиться, но и подняться на социальном лифте. Теперь рабочий мог прямо из шахты попасть в ряды политической элиты страны. Чтобы продемонстрировать, как работает новая система, Стаханова уже в 1936 году  перевели  в Москву, где поселили в элитном Доме на набережной. Сразу же специальным решением политбюро его приняли в партию без кандидатского стажа, отправили на учебу в московскую Промышленную академию, сделали депутатом Верховного Совета и даже выделили личный автомобиль. Ударник труда превратился в чиновника, а фамилия Стаханова зажила отдельно от него самого. Параллельно существовали национальный герой Алексей Стаханов, которому благоволил сам Сталин, и простой работяга Андрей Стаханов, который волей случая попал в Москву,  пристрастился  к алкоголю и однажды вместе с Василием Сталиным даже устроил пьяный дебош в «Метрополе», где побил зеркала. Сталин прощал проступки любимцу, однако однажды предупредил его: если тот не прекратит позорить уважаемую фамилию, ему придется сменить ее на другую. В итоге Андрей Стаханов уже после смерти Сталина был выслан из Москвы обратно в Донбасс, где запил еще сильнее и в конце концов умер. Символ советского ударничества Алексей Стаханов между тем продолжал успешно существовать в роли рекламного щита. Пропагандистская кампания, центром которой стал шахтер-ударник, дала плоды. Свои герои-стахановцы мгновенно  стали появляться  во всех отраслях советской экономики: уже осенью 1935 года кузнец Горьковского автозавода Александр Бусыгин изготовил за смену 1050 коленчатых валов вместо 675. В Вичуге параллельно со Стахановым сестры Евдокия и  Мария Виноградовы  положили начало движению многостаночниц в текстильной промышленности. На железной дороге машинист  Петр Кривонос  предложил водить тяжелые товарные составы с удвоенной скоростью. Однако у стахановского движения была и оборотная сторона. Появление рабочей аристократии  раздражало  других членов советского общества. Дело в том, что ударникам рекорды действительно позволяли значительно повысить уровень жизни (средняя зарплата забойщика-стахановца составляла 1600 рублей в месяц, вспомогательного рабочего-стахановца 400 рублей; а у рядовых работников тех же специальностей она была на уровне 400 и 170 рублей соответственно). Стахановцам полагались самые лучшие инструменты и материалы, поощрения в виде квартир и путевок. Остальные же рабочие, которые не хотели или не могли работать на износ, столкнулись с резким повышением норм производства. Сталин в погоне за более высокой производительностью и под прикрытием ударничества еще в 1935 году  заявил , что теперь СССР «нужны такие технические нормы, которые проходили бы где-нибудь посередине между нынешними техническими нормами и теми нормами, которых добились Стахановы и Бусыгины». Таким образом вчерашние рекорды быстро становились сегодняшней нормой. Политика трудовых подвигов и нацеленность на рекорды оказалась эффективной. К 1940 году властям СССР удалось провести индустриализацию, повысить производительность труда и добиться того, что доля экономически активного населения, занятого в сельском хозяйстве,  сократилась  с 90 процентов в конце НЭПа до 50 процентов. С конца 1920-х и в 1930-е годы СССР удалось построить экономику, которая не только смогла стать одним из победителей во Второй мировой войне, но и превратиться в одну из сверхдержав XX века. Однако экономисты считают, что насильственная коллективизация, ударничество и репрессии второй половины 1930-х по сути были напрасны. Согласно  исследованию  «Был ли нужен Сталин для экономического развития России», проведенному экономистами в 2013 году, альтернативные и более мягкие пути индустриализации позволили бы добиться не меньших успехов. «Даже если не рассматривать репрессии и голод, а учитывать только экономические показатели, даже если делать допущения и предположения в пользу гипотезы ""эффективности Сталина"", мы не нашли никаких доказательств того, что сталинская экономика опережает — в краткосрочной или долгосрочной перспективе — альтернативные сценарии», —  выяснили  исследователи. Они установили: если бы Великой Отечественной войны не было, то в краткосрочной и долгосрочной перспективе продолжение по сути либеральной новой экономической политики дало бы больший экономический эффект, чем сталинское силовое давление. Также более предпочтительным оказался сценарий, при котором после революции 1917 года экономические барьеры, препятствовавшие развитию страны в имперские времена, снимались. По мнению экономистов, сталинская политика репрессий и эксплуатации, с помощью которой достигался рост ВВП и ликвидировалось отставание от Запада, вкупе с некомпетентностью советских топ-менеджеров в планировании на самом деле привели только к ухудшению ситуации в стране и существенному падению эффективности как в сельском хозяйстве, так и в промышленности. К концу 1930-х годов производительность в деревне просто вернулась к начальной точке — дореволюционному тренду. Производительность в промышленности отставала даже от него и была ниже уровня 1928 года, когда закончился НЭП — не помог даже Стаханов.",Экономика
1,"Олимпийская чемпионка по фигурному катанию  Алина Загитова  согласилась стать ведущей шоу «Ледниковый период». Об этом сообщает Sport24. Переговоры с фигуристкой осложнялись из-за того, что Загитова изначально не была готова сосредоточиться на телевидении и временно отказаться от выступлений. После продолжительных переговоров она согласилась на участие в проекте. Основным ведущим программы станет олимпийский чемпион по фигурному катанию  Алексей Ягудин . 30 августа  Загитова  была зачислена  на контрактное отделение факультета журналистики  Российской академии народного хозяйства и государственной службы  (РАНХиГС). Выбор факультета спортсменка  объяснила  тем, что хочет избавиться от стеснения при общении с журналистами и научиться правильно выражать свои мысли. Загитова  объявила  о приостановке карьеры в декабре 2019-го. Она не выступала на турнирах в нынешнем сезоне, но участвовала в ледовых шоу. Заслуженный тренер СССР  Татьяна Тарасова   посчитала , что спортсменка не сумеет вернуться в состав олимпийской команды. Помимо того, что Загитова победила на Олимпийских играх, в ее активе есть золото чемпионатов Европы и мира, а также финала Гран-при.",Спорт
4,"Актер  Михаил Ефремов  систематически употреблял наркотики. Об этом сообщает  Telegram -канал RT. О том, что артист регулярно использует запрещенные вещества, свидетельствуют материалы экспертизы. О каких именно наркотиках идет речь, неизвестно. В июне сообщалось, что после смертельного ДТП в крови Ефремова  обнаружили  следы кокаина и каннабиноидов. Позднее в  правоохранительных органах  пояснили, что это остаточные следы наркотиков, и подчеркнули, что их Ефремов «когда-то ранее употреблял». «На конечном результате, на этом ДТП, это вряд ли отразилось», — сказал представитель правоохранительных органов. Ранее 31 августа актер, совершивший смертельное ДТП в центре Москвы,  объяснил  свое первоначальное признание вины в аварии влиянием похмелья. Соответствующее заявление Ефремов сделал в Пресненском суде столицы, где слушается его дело. Вечером 8 июня Михаил Ефремов в состоянии алкогольного опьянения устроил смертельную аварию в центре Москвы. В результате ДТП погиб водитель фургона  Сергей Захаров . Артист заявил, что не помнит произошедшего.",Культура
5,"27 августа выходит новый роман  Виктора Пелевина  «Непобедимое солнце» (издательство «Эксмо»). 700-страничная история о том, как наш мир едва не провалился в тартарары, рассказанная от лица тридцатилетней блондинки, которая не знает, чего хочет в жизни. Смелый литературный эксперимент читала обозреватель  «Ленты.ру»  Наталья Кочеткова. Саша Орлова — тридцатилетняя девушка в меру прогрессивных взглядов, без определенных занятий. Она живет в небольшой квартире-студии, в основном на деньги папы — макаронного короля, который любезно содержит не только великовозрастную дочь, но и ее мать, то есть свою бывшую жену, вместе с ее теперешней семьей. Саша не жалуется, но иронично добавляет, что до нее долетают не столько «брызги шампанского чужой роскоши, сколько запах отрыжки». К 30 годам она похорошела, по мнению окружающих, превратившись «из крынки в амфору». Сменила некоторое количество любовников (один нелепее другого) и чуть-чуть любовниц (с огорчением для себя убедившись, что она straight as a rail). Хотя в мужчинах ее бесит тот факт, что из любого человеческого самца рано или поздно выглядывает хряк, а также склонность видеть в женщине или дЫрочку, или дУрочку. Но больше всего ее огорчает, что она так и не нашла своего пути. Она пробивается случайными псевдотворческими работами и пытается понять, как жить дальше. На момент тридцатилетия она готовится станцевать запасную бабочку в балете «Кот Шредингера и бабочка Чжуан-Цзы в зарослях Травы Забвения», и то, что выглядит как стеб в начале, в финале, как это часто бывает у Пелевина, сыграет важную роль. Но обойдемся без спойлеров. В честь круглой даты Саша решает организовать себе встречу с самой собой. Для этого она одалживает у подруги байк, чтобы разогнаться на нем на предельной скорости ровно в час своего рождения. Это намерение неслучайно. Саша любит символизм, жизненные рифмы и видит в этом магию, а также верит, что если подделать жизненные рифмы, то можно даже запрограммировать мироздание в правильном для себя направлении. Но и здесь ее ждет разочарование: пробки. Потолкавшись среди автомобилей и подумав, что встретить свой 30-й день рождения на кольце — плохая шутка, она окончательно разочаровывается в жизни и в себе. Но тут ей на выручку приходит папа, который делает дочери подарок: отправляет ее в длинное двухмесячное путешествие. Кольцевая композиция с точки зрения жизненного символизма, возможно, и так себе выбор, зато в качестве сюжета — самое то. Чем Виктор Олегович и не преминул воспользоваться. Как, кстати, и символами. Его героиня весь объемный роман будет видеть знаки судьбы и трактовать их не хуже профессора Лэнгдона из «Кода да Винчи». Доверившись символам, а также прочтя сказку «Пойди туда, не знаю куда, принеси то, не знаю что», Саша отправляется сначала в Стамбул, затем на Кубу и в Таиланд. Как в сказке, на ее пути встретятся разные второстепенные персонажи, играющие роль волшебных помощников (Пелевин читал «Морфологию волшебной сказки» Проппа, о чем не забыл упомянуть в тексте). Она познакомится с парой миллионеров на раскрашенной в психоделические цвета яхте, корпоративными анархистами (они не воюют со злом, они делают для него клевые чехлы и обложки, на которых допускается политкорректная атака на менеджмент), некоторым количеством специалистов по древней истории и восточным религиозным практикам. Примерит на себя античные маски Солнца и Луны, побывает в теле римского императора III века, несколько раз встретится лицом к лицу со смертью и, кажется, спасет мир. Или не спасет. Это не так уж важно. Важно, что домой она вернется другим человеком. И вот этот человеческий аспект очень важен в разговоре о романе «Непобедимое солнце». Шутить на тему того, что читатели Виктора Пелевина стареют, а он нет, кажется, надоело даже критикам. Но, кроме шуток, его писательская манера за последние годы претерпела существенные изменения. Дерзкий, злой, ироничный, остроумный, звенящий Пелевин нулевых, который с календарной регулярностью, как хороший стендапер, объяснял широкой публике, в каком смешном и безумном мире мы прожили еще один год, время от времени выглядывает и в романах 2010-х. И в «Непобедимом солнце» он снова объяснит, как устроен наш мир. Что наша реальность — это симуляция, которую создает некий центральный проектор, одушевленная машина, ритуальный камень из Сирии. Он и есть sol invictus, «непобедимое солнце». При этом каждый человек создает кусочек своего мира, и все они складываются в одну большую модель. Особые люди, их называют soltator, при помощи танца перед камнем могут влиять на мироздание (например, это умели римские императоры). Они могут закончить прежний мир и станцевать новый. Исторические эпохи сильно различаются именно потому, что созданы разными людьми. А всемирные катаклизмы прячут шов между разными версиями мира. Впрочем, человеческое понимание мира — это всегда полное непонимание. Он пошутит про актуальное. Про  Грету Тунберг  и петербургскую привычку бросать расчлененные трупы в Мойку. Сравнит глаза кубинской собаки — «умные, добрые и бесконечно грустные» — с глазами  Романа Абрамовича , «понявшего наконец, в чем кидок». Проведет аналогию между зигой в 1939 году и современной саморепрезентацией пользователей соцсетей: «Фашистский мах в 1939 году был в точности тем же самым: дрессированный и напуганный гражданин показывал эпохе, какой он сознательный и передовой. Просто тогда не было Твиттера, и приходилось все делать вручную». Подарит одному герою идею, что эмодзи — это способ машинизации человека, подготовка к установлению диктатуры искусственного интеллекта, а другому — что это новая иероглифика и очень интересное явление. Видимо, обе идеи показались такими симпатичными, что не вышло между ними выбрать и оставить одну. Успеет вставить в роман связанный с пандемией коронавируса карантин и объяснит это все экономическими резонами. С привычным, но от этого не меньшим удовольствием оттопчется на медиа, назвав журналистов пресститутками и мелкими бесами. Пошутит, что «раньше крепостной не мог покидать свою деревню, но думать мог что хотел. Современный американский крепостной может ездить по всему миру и летать в космос, но его сознание привязано коротким поводком к корпоративным колышкам, вбитым корпоративными СМИ». Заставит одного из второстепенных персонажей, несостоявшегося поэта и так себе музыканта, вечно пребывающего под дурью, писать роман о судьбах России, состоящий из «кликбейтных заголовков», которые должны, по замыслу автора, сложиться в «завораживающую множеством смыслов конструкцию». Поиск показал, что часть этих заголовков — реальные заголовки новостей на «Ленте.ру» (спасибо, Виктор Олегович, буду знать, что вы много и внимательно читаете наше издание). Снисходительно поиронизирует над модой на феминизм: «Востребованная красивая самка ведет себя с осаждающими ее самцами цинично и равнодушно именно потому, что она понимает свою роль в мужском мире. Она нужна только как утолитель похоти. Когда девушка перестает быть сексуально привлекательной, она теряет социальную ценность, и все направленное на нее мужское влияние сразу исчезает... Что же удивительного, если на мужскую объективацию, превращающую ее в орудие наслаждения, она отвечает женской объективацией, превращающей мужчину в источник материальных благ?». Или: «Мужчина носит женщинам деньги, которые долго и трудно зарабатывает. А они берут их за то, что на пять минут раздвигают ноги. Кто здесь эксплуататор?». Но главное отличие Пелевина сегодняшнего от Пелевина прежнего в том, что он сменил романы идей на романы людей. В это трудно поверить, но бесконечные платоновские диалоги, в которых ученик спрашивает, а учитель объясняет, теперь больше похожи на человеческие разговоры. А герои, носители разных типов сознания, — на живых людей. И даже феминизм, над которым автор не уставал стебаться, вдруг обрел лицо симпатичной героини, такой соседской девчонки, которая вдруг встала вровень с римскими императорами и оказалась одной из тех, кто каждый день спасает этот мир. «Непобедимое солнце» — не только с филигранной точностью спроектированный роман, в котором даже мельчайшие узелки развязываются в свой черед. Это еще и очень человечный роман. Не будет преувеличением сказать — гуманистический. Прописанный с какой-то толстовской обстоятельностью, свободой и раздумчивостью. А это уже совсем не похоже на стендап. Скорее на эпопею.",Культура
